"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
11.686,0.166931152344,-0.0205993652344,3.98178100586
11.687,0.166931152344,-0.0129699707031,3.97415161133
11.688,0.166931152344,-0.00534057617188,3.97033691406
11.689,0.166931152344,-0.00152587890625,3.97415161133
11.69,0.166931152344,-0.00534057617188,3.97796630859
11.691,0.166931152344,0.00228881835938,3.98178100586
11.692,0.16731262207,0.006103515625,3.98559570313
11.693,0.166931152344,-0.00152587890625,3.98178100586
11.694,0.16731262207,-0.0091552734375,3.97415161133
11.695,0.166931152344,-0.0129699707031,3.97415161133
11.696,0.166931152344,-0.0282287597656,3.97796630859
11.697,0.166931152344,-0.0396728515625,3.98178100586
11.698,0.166931152344,-0.0396728515625,3.98178100586
11.699,0.166931152344,-0.0358581542969,3.98178100586
11.7,0.166931152344,-0.0396728515625,3.97415161133
11.701,0.166931152344,-0.0320434570313,3.97796630859
11.702,0.166931152344,-0.0244140625,3.97415161133
11.703,0.166931152344,-0.0244140625,3.98178100586
11.704,0.166931152344,-0.0167846679688,3.98178100586
11.705,0.166931152344,-0.00534057617188,3.98178100586
11.706,0.166931152344,-0.00152587890625,3.98178100586
11.707,0.16731262207,0.006103515625,3.98178100586
11.708,0.166931152344,0.00991821289063,3.97415161133
11.709,0.166931152344,0.00228881835938,3.97415161133
11.71,0.166931152344,-0.00534057617188,3.98178100586
11.711,0.16731262207,-0.0129699707031,3.98178100586
11.712,0.166931152344,-0.0244140625,3.97796630859
11.713,0.16731262207,-0.0282287597656,3.98178100586
11.714,0.166931152344,-0.0320434570313,3.98178100586
11.715,0.166931152344,-0.0320434570313,3.97415161133
11.716,0.166931152344,-0.0396728515625,3.97033691406
11.717,0.166931152344,-0.0396728515625,3.97415161133
11.718,0.166931152344,-0.0358581542969,3.98178100586
11.719,0.166931152344,-0.0282287597656,3.98178100586
11.72,-0.0141525268555,-0.0167846679688,-3.9493560791
11.721,-0.115165710449,0.0213623046875,-3.91502380371
11.722,-0.149478912354,0.0137329101563,-3.90739440918
11.723,-0.161304473877,0.006103515625,-3.90357971191
11.724,-0.165100097656,0.006103515625,-3.89976501465
11.725,-0.166625976563,0.00228881835938,-3.89213562012
11.726,-0.167388916016,-0.00534057617188,-3.89595031738
11.727,-0.167388916016,-0.00534057617188,-3.89976501465
11.728,-0.167770385742,-0.0091552734375,-3.89976501465
11.729,-0.167388916016,-0.0205993652344,-3.89976501465
11.73,-0.167770385742,-0.0320434570313,-3.90357971191
11.731,-0.167770385742,-0.0358581542969,-3.90357971191
11.732,-0.167388916016,-0.0396728515625,-3.89976501465
11.733,-0.167770385742,-0.0434875488281,-3.89595031738
11.734,-0.167770385742,-0.0358581542969,-3.89976501465
11.735,-0.167770385742,-0.0244140625,-3.89976501465
11.736,-0.167770385742,-0.0205993652344,-3.89976501465
11.737,-0.167388916016,-0.0167846679688,-3.90357971191
11.738,-0.167770385742,-0.00534057617188,-3.90357971191
11.739,-0.167388916016,-0.00534057617188,-3.90357971191
11.74,-0.167388916016,-0.00152587890625,-3.89595031738
11.741,-0.167770385742,0.00991821289063,-3.90357971191
11.742,-0.167770385742,0.006103515625,-3.89976501465
11.743,-0.167388916016,-0.00152587890625,-3.90357971191
11.744,-0.167770385742,-0.0091552734375,-3.90357971191
11.745,-0.167388916016,-0.0129699707031,-3.89976501465
11.746,-0.167388916016,-0.0282287597656,-3.89976501465
11.747,-0.167770385742,-0.0358581542969,-3.89595031738
11.748,-0.167770385742,-0.0320434570313,-3.89595031738
11.749,-0.167770385742,-0.0358581542969,-3.89976501465
11.75,-0.167770385742,-0.0434875488281,-3.90357971191
11.751,-0.167388916016,-0.0358581542969,-3.90357971191
11.752,-0.167770385742,-0.0320434570313,-3.90739440918
11.753,-0.167388916016,-0.0282287597656,-3.90357971191
11.754,-0.167388916016,-0.0167846679688,-3.89976501465
11.755,-0.167770385742,-0.00152587890625,-3.89976501465
11.756,-0.167388916016,0.00228881835938,-3.89976501465
11.757,-0.167388916016,0.00228881835938,-3.89976501465
11.758,-0.167388916016,0.00991821289063,-3.89976501465
11.759,-0.167388916016,0.00228881835938,-3.90357971191
11.76,-0.167770385742,-0.0129699707031,-3.90357971191
11.761,-0.167388916016,-0.0129699707031,-3.89595031738
11.762,-0.167388916016,-0.0129699707031,-3.89213562012
11.763,-0.167770385742,-0.0244140625,-3.89595031738
11.764,-0.167388916016,-0.0320434570313,-3.89976501465
11.765,-0.167770385742,-0.0320434570313,-3.89976501465
11.766,-0.167770385742,-0.0434875488281,-3.89595031738
11.767,-0.167388916016,-0.0434875488281,-3.90357971191
11.768,-0.167770385742,-0.0320434570313,-3.89595031738
11.769,-0.167388916016,-0.0205993652344,-3.89213562012
11.77,0.00110626220703,-0.0091552734375,4.03499603271
11.771,0.110130310059,-0.0358581542969,4.00085449219
11.772,0.147476196289,-0.0167846679688,3.98178100586
11.773,0.160064697266,-0.0129699707031,3.97415161133
11.774,0.165023803711,-0.00534057617188,3.97415161133
11.775,0.166168212891,0.006103515625,3.97415161133
11.776,0.166931152344,-0.00152587890625,3.98178100586
11.777,0.166931152344,-0.0091552734375,3.98178100586
11.778,0.166931152344,-0.0091552734375,3.98941040039
11.779,0.166931152344,-0.0205993652344,3.98178100586
11.78,0.166931152344,-0.0358581542969,3.98178100586
11.781,0.16731262207,-0.0396728515625,3.98178100586
11.782,0.16731262207,-0.0358581542969,3.98178100586
11.783,0.16731262207,-0.0396728515625,3.98178100586
11.784,0.166931152344,-0.0358581542969,3.98178100586
11.785,0.166931152344,-0.0282287597656,3.97415161133
11.786,0.166931152344,-0.0244140625,3.97415161133
11.787,0.166931152344,-0.0244140625,3.97415161133
11.788,0.166931152344,-0.0091552734375,3.97415161133
11.789,0.16731262207,-0.00152587890625,3.97415161133
11.79,0.16731262207,0.00228881835938,3.98559570313
11.791,0.166931152344,0.006103515625,3.98178100586
11.792,0.166931152344,0.006103515625,3.97796630859
11.793,0.166931152344,-0.00534057617188,3.97796630859
11.794,0.166931152344,-0.0167846679688,3.97415161133
11.795,0.16731262207,-0.0205993652344,3.97033691406
11.796,0.166931152344,-0.0244140625,3.98178100586
11.797,0.166931152344,-0.0282287597656,3.98178100586
11.798,0.166931152344,-0.0320434570313,3.98178100586
11.799,0.166931152344,-0.0396728515625,3.98178100586
11.8,0.166931152344,-0.0396728515625,3.98178100586
11.801,0.166931152344,-0.0396728515625,3.98178100586
11.802,0.16731262207,-0.0320434570313,3.97796630859
11.803,0.166931152344,-0.0205993652344,3.98178100586
11.804,0.166931152344,-0.0091552734375,3.98178100586
11.805,0.166931152344,0.00228881835938,3.98178100586
11.806,0.16731262207,0.00228881835938,3.98178100586
11.807,0.166931152344,0.00228881835938,3.98178100586
11.808,0.16731262207,0.00228881835938,3.97415161133
11.809,0.166931152344,-0.00534057617188,3.97415161133
11.81,0.16731262207,-0.00534057617188,3.97415161133
11.811,0.166931152344,-0.00534057617188,3.98178100586
11.812,0.166931152344,-0.0129699707031,3.98178100586
11.813,0.166931152344,-0.0282287597656,3.98178100586
11.814,0.166931152344,-0.0358581542969,3.98178100586
11.815,0.166931152344,-0.0396728515625,3.97415161133
11.816,0.166931152344,-0.0473022460938,3.97033691406
11.817,0.166931152344,-0.0396728515625,3.97033691406
11.818,0.16731262207,-0.0282287597656,3.98178100586
11.819,0.166931152344,-0.0244140625,3.98178100586
11.82,-0.0137710571289,-0.0205993652344,-3.9493560791
11.821,-0.115165710449,0.0175476074219,-3.91502380371
11.822,-0.149478912354,0.00991821289063,-3.90739440918
11.823,-0.16092300415,-0.00152587890625,-3.90357971191
11.824,-0.165481567383,0.00991821289063,-3.89976501465
11.825,-0.166625976563,0.0137329101563,-3.89595031738
11.826,-0.167388916016,0.00228881835938,-3.89595031738
11.827,-0.167388916016,-0.00534057617188,-3.89976501465
11.828,-0.167388916016,-0.0129699707031,-3.89976501465
11.829,-0.167388916016,-0.0282287597656,-3.89976501465
11.83,-0.167388916016,-0.0396728515625,-3.89976501465
11.831,-0.167388916016,-0.0358581542969,-3.89595031738
11.832,-0.167770385742,-0.0320434570313,-3.89595031738
11.833,-0.167388916016,-0.0396728515625,-3.89595031738
11.834,-0.167770385742,-0.0358581542969,-3.89976501465
11.835,-0.167388916016,-0.0282287597656,-3.89976501465
11.836,-0.167388916016,-0.0282287597656,-3.89976501465
11.837,-0.167770385742,-0.0205993652344,-3.89976501465
11.838,-0.167388916016,-0.00152587890625,-3.89976501465
11.839,-0.167388916016,0.00228881835938,-3.89976501465
11.84,-0.167770385742,0.00228881835938,-3.89595031738
11.841,-0.167388916016,0.006103515625,-3.89976501465
11.842,-0.167388916016,0.00228881835938,-3.89213562012
11.843,-0.167770385742,-0.0091552734375,-3.89595031738
11.844,-0.167388916016,-0.0129699707031,-3.89976501465
11.845,-0.167770385742,-0.0091552734375,-3.90357971191
