"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Current (A)","Latest: Potential 2 (V)"
9.304,,0.166931152344,0.624084472656
9.305,,0.166931152344,0.624084472656
9.306,,0.166931152344,0.624084472656
9.307,,0.166931152344,0.624084472656
9.308,,0.166931152344,0.624084472656
9.309,,0.166931152344,0.624084472656
9.31,,0.166931152344,0.624084472656
9.311,,0.166931152344,0.624084472656
9.312,,0.166931152344,0.624084472656
9.313,,0.166931152344,0.627899169922
9.314,,0.166931152344,0.627899169922
9.315,,0.166931152344,0.627899169922
9.316,,0.0216865539551,-4.38766479492
9.317,,-0.102977752686,-1.90658569336
9.318,,-0.145282745361,-1.04522705078
9.319,,-0.159778594971,-0.751686096191
9.32,,-0.165100097656,-0.652694702148
9.321,,-0.166625976563,-0.614547729492
9.322,,-0.167388916016,-0.603103637695
9.323,,-0.167388916016,-0.59928894043
9.324,,-0.167770385742,-0.59928894043
9.325,,-0.167388916016,-0.595474243164
9.326,,-0.167388916016,-0.595474243164
9.327,,-0.167388916016,-0.595474243164
9.328,,-0.167388916016,-0.595474243164
9.329,,-0.167770385742,-0.591659545898
9.33,,-0.167770385742,-0.59928894043
9.331,,-0.167388916016,-0.595474243164
9.332,,-0.167770385742,-0.587844848633
9.333,,-0.167388916016,-0.595474243164
9.334,,-0.167770385742,-0.595474243164
9.335,,-0.167388916016,-0.59928894043
9.336,,-0.167388916016,-0.595474243164
9.337,,-0.167770385742,-0.595474243164
9.338,,-0.167388916016,-0.595474243164
9.339,,-0.167770385742,-0.591659545898
9.34,,-0.167770385742,-0.591659545898
9.341,,-0.167388916016,-0.595474243164
9.342,,-0.167388916016,-0.595474243164
9.343,,-0.167770385742,-0.595474243164
9.344,,-0.167388916016,-0.595474243164
9.345,,-0.167770385742,-0.59928894043
9.346,,-0.167770385742,-0.59928894043
9.347,,-0.167388916016,-0.595474243164
9.348,,-0.167770385742,-0.595474243164
9.349,,-0.167388916016,-0.591659545898
9.35,,-0.167388916016,-0.595474243164
9.351,,-0.167770385742,-0.595474243164
9.352,,-0.167388916016,-0.595474243164
9.353,,-0.167770385742,-0.595474243164
9.354,,-0.167388916016,-0.591659545898
9.355,,-0.167770385742,-0.595474243164
9.356,,-0.167388916016,-0.595474243164
9.357,,-0.167770385742,-0.59928894043
9.358,,-0.167388916016,-0.595474243164
9.359,,-0.167770385742,-0.595474243164
9.36,,-0.167388916016,-0.595474243164
9.361,,-0.167770385742,-0.591659545898
9.362,,-0.167770385742,-0.591659545898
9.363,,-0.167388916016,-0.591659545898
9.364,,-0.167770385742,-0.595474243164
9.365,,-0.167388916016,-0.595474243164
9.366,,-0.0374031066895,4.78591918945
9.367,,0.0971603393555,2.04181671143
9.368,,0.143280029297,1.11198425293
9.369,,0.158920288086,0.795555114746
9.37,,0.164260864258,0.685119628906
9.371,,0.165786743164,0.64697265625
9.372,,0.166549682617,0.631713867188
9.373,,0.166931152344,0.631713867188
9.374,,0.166931152344,0.627899169922
9.375,,0.166931152344,0.627899169922
9.376,,0.166931152344,0.627899169922
9.377,,0.166931152344,0.627899169922
9.378,,0.166931152344,0.624084472656
9.379,,0.166931152344,0.627899169922
9.38,,0.166931152344,0.627899169922
9.381,,0.166931152344,0.627899169922
9.382,,0.166931152344,0.631713867188
9.383,,0.166931152344,0.631713867188
9.384,,0.166931152344,0.627899169922
9.385,,0.166931152344,0.624084472656
9.386,,0.166931152344,0.624084472656
9.387,,0.16731262207,0.627899169922
9.388,,0.166931152344,0.627899169922
