"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
23.524,95.2490844727,-0.0991630554199
23.525,95.2490844727,-0.105266571045
23.526,95.7200317383,-0.110607147217
23.527,95.2490844727,-0.116710662842
23.528,94.3071899414,-0.122051239014
23.529,94.3071899414,-0.128154754639
23.53,93.8362426758,-0.133495330811
23.531,93.3652954102,-0.139217376709
23.532,93.3652954102,-0.144939422607
23.533,92.8943481445,-0.150279998779
23.534,92.4234008789,-0.156383514404
23.535,91.9524536133,-0.161724090576
23.536,91.010559082,-0.167427062988
23.537,91.010559082,-0.17276763916
23.538,90.5396118164,-0.178489685059
23.539,90.0686645508,-0.18383026123
23.54,89.5977172852,-0.189170837402
23.541,88.6558227539,-0.194511413574
23.542,88.6558227539,-0.199851989746
23.543,88.6558227539,-0.205192565918
23.544,87.7139282227,-0.21053314209
23.545,87.242980957,-0.215873718262
23.546,86.7720336914,-0.220832824707
23.547,85.8301391602,-0.226173400879
23.548,85.3591918945,-0.231513977051
23.549,84.8882446289,-0.23609161377
23.55,84.4172973633,-0.241813659668
23.551,83.475402832,-0.246391296387
23.552,82.5335083008,-0.251731872559
23.553,82.0625610352,-0.256690979004
23.554,81.5916137695,-0.261268615723
23.555,80.6497192383,-0.266227722168
23.556,80.1787719727,-0.270805358887
23.557,78.7659301758,-0.275764465332
23.558,78.2949829102,-0.280723571777
23.559,77.8240356445,-0.285301208496
23.56,77.3530883789,-0.290260314941
23.561,76.4111938477,-0.29483795166
23.562,75.4692993164,-0.299034118652
23.563,74.9983520508,-0.303230285645
23.564,74.0800048828,-0.30818939209
23.565,73.1381103516,-0.312767028809
23.566,72.6671630859,-0.316963195801
23.567,71.7252685547,-0.321159362793
23.568,70.7833740234,-0.325355529785
23.569,69.8414794922,-0.329933166504
23.57,68.8995849609,-0.334129333496
23.571,67.9576904297,-0.337944030762
23.572,67.0157958984,-0.342140197754
23.573,66.0739013672,-0.346336364746
23.574,65.1320068359,-0.350151062012
23.575,64.1901123047,-0.353965759277
23.576,63.7191650391,-0.357780456543
23.577,62.7772705078,-0.361957550049
23.578,61.8353759766,-0.365390777588
23.579,60.8934814453,-0.368824005127
23.58,59.9515869141,-0.372638702393
23.581,59.0096923828,-0.375690460205
23.582,58.0677978516,-0.379505157471
23.583,57.1259033203,-0.38293838501
23.584,55.7130615234,-0.386371612549
23.585,54.3002197266,-0.389804840088
23.586,53.3583251953,-0.3928565979
23.587,52.8873779297,-0.396671295166
23.588,51.4745361328,-0.398960113525
23.589,50.5326416016,-0.402011871338
23.59,49.1197998047,-0.40506362915
23.591,48.1779052734,-0.408115386963
23.592,47.2360107422,-0.411167144775
23.593,46.7650634766,-0.413837432861
23.594,45.3522216797,-0.416889190674
23.595,43.9393798828,-0.419178009033
23.596,42.9974853516,-0.422229766846
23.597,42.0555908203,-0.424137115479
23.598,41.1136962891,-0.426807403564
23.599,40.1718017578,-0.429096221924
23.6,38.7589599609,-0.431385040283
23.601,37.3461181641,-0.434055328369
23.602,35.9332763672,-0.435962677002
23.603,35.4623291016,-0.438251495361
23.604,34.0494873047,-0.440158843994
23.605,32.6366455078,-0.442066192627
23.606,31.6947509766,-0.444355010986
23.607,30.2819091797,-0.445880889893
23.608,28.8690673828,-0.447406768799
23.609,28.3981201172,-0.449314117432
23.61,27.4562255859,-0.450839996338
23.611,26.0433837891,-0.452365875244
23.612,25.1250366211,-0.454273223877
23.613,23.7121948242,-0.455417633057
23.614,22.2993530273,-0.456562042236
23.615,21.8284057617,-0.457706451416
23.616,20.4155639648,-0.459613800049
